ID,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Year
brandel01,Craig Brackins,PF,23,PHI,3,0,11.0,1.3,5.3,.250,0.0,1.7,.000,1.3,3.7,.364,.250,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,0.0,1.0,2.7,2011
breweco01,Avery Bradley,PG,20,BOS,31,0,5.2,0.7,2.2,.343,0.0,0.2,.000,0.7,2.0,.371,.343,0.2,0.4,.500,0.1,0.4,0.5,0.4,0.3,0.0,0.5,0.6,1.7,2011
breweco01,Elton Brand,PF,31,PHI,81,81,34.7,6.2,12.1,.512,0.0,0.0,.000,6.2,12.1,.512,.512,2.6,3.4,.780,2.9,5.4,8.3,1.5,1.1,1.3,1.2,3.0,15.0,2011
brewero02,Corey Brewer,SF-SG,24,TOT,69,24,21.9,2.8,7.1,.395,0.4,1.6,.268,2.4,5.4,.434,.426,2.0,2.8,.708,0.8,1.7,2.5,1.3,1.4,0.2,1.3,2.3,8.0,2011
brockjo01,Corey Brewer,SF,24,MIN,56,22,24.3,3.0,7.8,.384,0.5,1.8,.263,2.5,6.0,.420,.414,2.2,3.1,.708,0.8,1.9,2.7,1.4,1.6,0.3,1.4,2.4,8.6,2011
brookaa01,Corey Brewer,SG,24,DAL,13,2,11.4,1.9,3.9,.490,0.3,1.0,.308,1.6,2.9,.553,.529,1.2,1.6,.714,0.9,0.8,1.8,0.9,0.8,0.2,0.8,1.9,5.3,2011
brookaa01,Ronnie Brewer,SG,25,CHI,81,1,22.0,2.5,5.3,.480,0.1,0.3,.222,2.5,4.9,.498,.487,1.1,1.6,.654,0.7,2.6,3.2,1.7,1.3,0.3,0.7,1.0,6.2,2011
brookaa01,Jon Brockman,C,23,MIL,63,6,10.7,0.8,1.5,.511,0.0,0.0,,0.8,1.5,.511,.511,0.6,0.9,.678,1.2,1.7,2.9,0.3,0.2,0.0,0.4,1.9,2.2,2011
brownde04,Aaron Brooks,PG,26,TOT,59,12,21.8,3.7,9.9,.375,1.2,4.0,.297,2.5,5.9,.427,.434,2.1,2.4,.886,0.3,1.0,1.3,3.9,0.6,0.1,1.7,1.9,10.7,2011
brownde04,Aaron Brooks,PG,26,HOU,34,7,23.9,3.9,11.4,.346,1.4,5.0,.284,2.5,6.4,.394,.408,2.3,2.4,.940,0.3,1.2,1.5,3.8,0.6,0.1,1.6,2.0,11.6,2011
brownde04,Aaron Brooks,PG,26,PHO,25,5,18.9,3.4,8.0,.430,0.9,2.7,.328,2.6,5.3,.481,.485,1.8,2.3,.807,0.4,0.7,1.1,4.2,0.5,0.0,1.8,1.8,9.6,2011
brownkw01,Derrick Brown,SF,23,TOT,49,1,11.8,1.5,2.7,.565,0.1,0.2,.500,1.4,2.5,.570,.584,0.7,1.2,.533,0.8,1.2,2.0,0.7,0.4,0.2,0.7,1.2,3.8,2011
brownsh01,Derrick Brown,SF,23,CHA,41,1,11.9,1.5,2.8,.549,0.0,0.1,.333,1.5,2.6,.561,.558,0.6,1.1,.532,0.8,1.3,2.0,0.7,0.4,0.2,0.7,1.2,3.7,2011
bryanko01,Derrick Brown,SF,23,NYK,8,0,11.0,1.5,2.3,.667,0.4,0.5,.750,1.1,1.8,.643,.750,0.9,1.6,.538,1.1,0.8,1.9,0.5,0.5,0.3,0.9,1.4,4.3,2011
