Miami Heat,96,Los Angeles Lakers,80,2011
Chicago Bulls,95,New York Knicks,103,2011
Denver Nuggets,106,Oklahoma City Thunder,114,2011
Boston Celtics,78,Orlando Magic,86,2011
Minnesota Timberwolves,98,Cleveland Cavaliers,97,2011
Philadelphia 76ers,95,Denver Nuggets,89,2011
Chicago Bulls,95,Detroit Pistons,92,2011
Memphis Grizzlies,104,Indiana Pacers,90,2011
Phoenix Suns,103,Los Angeles Clippers,108,2011
Atlanta Hawks,86,New Orleans Hornets,93,2011
Washington Wizards,80,San Antonio Spurs,94,2011
Detroit Pistons,100,Charlotte Bobcats,105,2011
Philadelphia 76ers,95,Golden State Warriors,110,2011
Washington Wizards,93,Houston Rockets,100,2011
Toronto Raptors,85,Memphis Grizzlies,96,2011
Atlanta Hawks,95,Milwaukee Bucks,80,2011
New Orleans Hornets,98,Minnesota Timberwolves,113,2011
Orlando Magic,104,New Jersey Nets,88,2011
Dallas Mavericks,103,Oklahoma City Thunder,93,2011
Los Angeles Clippers,100,Sacramento Kings,99,2011
Portland Trail Blazers,96,Utah Jazz,91,2011
Milwaukee Bucks,77,Chicago Bulls,90,2011
Orlando Magic,110,Cleveland Cavaliers,95,2011
Toronto Raptors,84,Dallas Mavericks,76,2011
Portland Trail Blazers,77,Denver Nuggets,95,2011
Boston Celtics,95,Indiana Pacers,83,2011
New York Knicks,98,Miami Heat,106,2011
Los Angeles Lakers,82,San Antonio Spurs,97,2011
Golden State Warriors,93,Atlanta Hawks,103,2011
Cleveland Cavaliers,92,Charlotte Bobcats,101,2011
Boston Celtics,92,Detroit Pistons,104,2011
Miami Heat,125,Houston Rockets,119,2011
Utah Jazz,103,Los Angeles Clippers,95,2011
Denver Nuggets,119,Minnesota Timberwolves,113,2011
Los Angeles Lakers,103,New Orleans Hornets,88,2011
New Jersey Nets,93,Oklahoma City Thunder,114,2011
Philadelphia 76ers,123,Phoenix Suns,110,2011
Memphis Grizzlies,98,Sacramento Kings,100,2011
